gateway_ref,order_reference,amount,currency,captured_at,status,description
GW-0000001,ord-0001,841.70,INR,2026-06-03 00:48:11,captured,Mobile wallet top-up
GW-0000002,ORD-0002,4425.27,EUR,2026-06-21 19:34:49,captured,Hotel pre-authorization capture
GW-0000003,ORD-0003,3152.69,GBP,2026-08-03 08:56:53,captured,Card checkout — online store
GW-0000004,ORD-0004,316.19,EUR,2026-08-12 23:31:52,captured,Monthly SaaS subscription
GW-0000005,ORD-0005,685.64,INR,2026-08-11 19:55:38,captured,Invoice payment
GW-0000006,ORD-0006,4882.68,EUR,2026-07-12 03:23:28,captured,Utility bill payment
GW-0000007,ORD-0007,2379.58,USD,2026-07-04 00:01:37,captured,Marketplace payout capture
GW-0000008,ORD-0008,3097.62,EUR,2026-06-01 22:03:14,captured,Monthly SaaS subscription
GW-0000009,ORD-0009,4519.46,GBP,2026-06-12 04:31:13,captured,Marketplace payout capture
GW-0000010,ORD-0010,3804.95,INR,2026-07-02 20:12:06,captured,Insurance premium debit
GW-0000011,ORD-0011,2233.27,INR,2026-07-30 21:41:06,captured,Card checkout — online store
GW-0000012,ORD-0012,3830.43,GBP,2026-06-14 19:34:28,captured,Marketplace payout capture
GW-0000013,ORD-0013,974.50,ZZZ,2026-07-31 20:28:51,UNKNOWN,Marketplace payout capture
GW-0000014,ORD-0014,525.82,USD,2026-08-10 00:59:48,captured,Card checkout — online store
GW-0000015,ORD-0015,2143.28,INR,2026-08-02 00:57:03,captured,Marketplace payout capture
GW-0000016,ORD-0016,23.80,INR,2026-07-06 01:44:46,captured,Insurance premium debit
GW-0000017,ORD-0017,824.58,EUR,2026-07-09 18:37:47,captured,Marketplace payout capture
GW-0000018,ORD-0018,275.39,INR,2026-08-05 03:05:54,captured,Invoice payment
GW-0000019,ORD-0019,3132.19,USD,2026-07-01 19:15:37,captured,Utility bill payment
GW-0000020,ORD-0020,2210.44,GBP,2026-07-05 11:20:15,captured,Marketplace payout capture
GW-0000021,ORD-0021,698.67,GBP,2026-07-29 20:59:04,captured,Hotel pre-authorization capture
GW-0000022,ORD-0022,0.00,USD,2026-06-11 10:08:59,UNKNOWN,Marketplace payout capture
GW-0000023,ORD-0023,4630.76,USD,2026-07-03 20:28:53,captured,Hotel pre-authorization capture
GW-0000024,ORD-0024,3219.45,USD,2026-08-11 02:06:56,captured,Mobile wallet top-up
GW-0000025,ORD-0025,617.67,USD,2026-08-11 09:38:13,captured,Invoice payment
GW-0000026,ORD-0026,3616.96,GBP,2026-08-05 11:05:40,captured,Insurance premium debit
GW-0000027,ORD-0027,243.64,USD,2026-07-14 16:10:47,captured,Invoice payment
GW-0000028,ORD-0029,4642.52,EUR,2026-08-09 22:37:35,captured,Card checkout — online store
GW-0000029,ORD-0030,680.68,USD,2026-07-11 18:55:02,captured,Hotel pre-authorization capture
GW-0000030,ord:0031,3588.49,EUR,2026-06-15 18:56:55,captured,Hotel pre-authorization capture
GW-0000031,ORD-0032,4866.16,EUR,2026-06-22 11:01:11,captured,Invoice payment
GW-0000032,ORD-0033,4218.52,EUR,2026-07-05 21:06:24,captured,Invoice payment
GW-0000033,ORD-0034,4514.00,INR,2026-06-30 05:22:19,captured,Marketplace payout capture
GW-0000034,ORD-0035,136.56,EUR,2026-07-23 07:49:17,captured,Hotel pre-authorization capture
GW-0000035,ORD-0036,4435.71,GBP,2026-06-05 04:11:37,captured,Monthly SaaS subscription
GW-0000036,ORD-0037,580.84,INR,2026-07-16 17:32:07,captured,Hotel pre-authorization capture
GW-0000037,ORD-0038,1348.97,USD,2026-07-27 08:34:43,captured,Card checkout — online store
GW-0000038,ORD-0039,3279.62,GBP,2026-06-17 08:42:26,captured,Mobile wallet top-up
GW-0000039,ORD-0040,3667.88,GBP,2026-08-11 01:42:24,captured,Invoice payment
GW-0000040,ORD-0041,2141.50,USD,2026-07-10 10:50:37,captured,Mobile wallet top-up
GW-0000041,ORD-0042,2328.73,INR,2026-06-29 01:47:10,captured,Insurance premium debit
GW-0000042,ORD-0043,2714.95,GBP,2026-06-13 00:14:51,captured,Marketplace payout capture
GW-0000043,ORD-0044,785.05,USD,2026-06-06 21:54:49,captured,Marketplace payout capture
GW-0000044,ORD-0045,2185.36,EUR,2026-07-20 11:09:41,captured,Insurance premium debit
GW-0000045,ORD-0047,3661.08,INR,2026-06-08 14:29:08,captured,Marketplace payout capture
GW-0000046,ORD-0048,4993.44,INR,2026-08-05 02:28:57,captured,Utility bill payment
GW-0000047,ORD-0049,2372.16,GBP,2026-07-03 11:33:31,captured,Mobile wallet top-up
GW-0000048,ORD-0050,2318.69,USD,2026-07-08 23:20:57,captured,Marketplace payout capture
GW-0000049,ORD-0051,803.28,EUR,2026-07-21 13:04:26,captured,Invoice payment
GW-0000050,ORD-0052,2857.34,INR,2026-07-24 15:24:57,captured,Card checkout — online store
GW-0000051,ORD-0053,4504.24,INR,2026-08-02 13:19:48,captured,Card checkout — online store
GW-0000052,ORD-0054,2834.32,EUR,2026-08-03 14:31:01,captured,Marketplace payout capture
GW-0000053,ORD-0055,1774.78,INR,2026-06-22 11:39:34,captured,Insurance premium debit
GW-0000054,ORD-0056,3115.72,USD,2026-06-12 07:11:03,captured,Utility bill payment
GW-0000055,ORD-0057,1728.77,EUR,2026-07-30 13:56:24,captured,Hotel pre-authorization capture
GW-0000056,ORD-0058,1335.12,USD,2026-08-01 06:03:22,captured,Card checkout — online store
GW-0000057,ORD-0059,3421.12,USD,2026-06-06 12:12:53,captured,Card checkout — online store
GW-0000058,ORD-0060,1263.16,EUR,2026-08-01 03:29:44,captured,Monthly SaaS subscription
GW-0000059,ORD-0062,3046.47,USD,2026-07-11 10:12:04,captured,Utility bill payment
GW-0000060,ORD-0063,3667.79,GBP,2026-06-17 15:27:42,captured,Card checkout — online store
GW-0000061,ORD-0064,2665.19,GBP,2026-06-03 14:06:27,captured,Utility bill payment
GW-0000062,ORD-0065,3722.08,EUR,2026-07-28 02:41:17,captured,Invoice payment
