order_id,expected_gateway_relationship,expected_settlement_relationship,expected_outcome,exception_type
ORD-0001,inconsistent,matched,exception,inconsistent_reference
ORD-0002,matched,matched,reconciled,
ORD-0003,matched,matched,reconciled,
ORD-0004,matched,matched,reconciled,
ORD-0005,matched,matched,reconciled,
ORD-0006,matched,missing,exception,missing_settlement
ORD-0007,matched,delayed,exception,delayed_settlement
ORD-0008,matched,matched,reconciled,
ORD-0009,matched,delayed,exception,delayed_settlement
ORD-0010,matched,duplicate,exception,duplicate_settlement
ORD-0011,matched,matched,reconciled,
ORD-0012,matched,matched,reconciled,
ORD-0013,invalid,invalid,exception,invalid_record
ORD-0014,matched,matched,reconciled,
ORD-0015,matched,matched,reconciled,
ORD-0016,matched,matched,reconciled,
ORD-0017,matched,matched,exception,amount_mismatch
ORD-0018,matched,matched,reconciled,
ORD-0019,matched,matched,reconciled,
ORD-0020,matched,matched,reconciled,
ORD-0021,matched,duplicate,exception,duplicate_settlement
ORD-0022,invalid,invalid,exception,invalid_record
ORD-0023,matched,matched,reconciled,
ORD-0024,matched,matched,reconciled,
ORD-0025,matched,matched,reconciled,
ORD-0026,matched,delayed,exception,delayed_settlement
ORD-0027,matched,matched,reconciled,
ORD-0028,missing,none,exception,missing_gateway
ORD-0029,matched,matched,reconciled,
ORD-0030,matched,delayed,exception,delayed_settlement
ORD-0031,inconsistent,matched,exception,inconsistent_reference
ORD-0032,matched,matched,reconciled,
ORD-0033,matched,missing,exception,missing_settlement
ORD-0034,matched,matched,reconciled,
ORD-0035,matched,duplicate,exception,duplicate_settlement
ORD-0036,matched,matched,reconciled,
ORD-0037,matched,matched,reconciled,
ORD-0038,matched,matched,exception,amount_mismatch
ORD-0039,matched,matched,reconciled,
ORD-0040,matched,matched,reconciled,
ORD-0041,matched,matched,reconciled,
ORD-0042,matched,matched,reconciled,
ORD-0043,matched,missing,exception,missing_settlement
ORD-0044,matched,delayed,exception,delayed_settlement
ORD-0045,matched,matched,reconciled,
ORD-0046,missing,none,exception,missing_gateway
ORD-0047,matched,matched,reconciled,
ORD-0048,matched,matched,reconciled,
ORD-0049,matched,matched,reconciled,
ORD-0050,matched,duplicate,exception,duplicate_settlement
ORD-0051,matched,matched,reconciled,
ORD-0052,matched,missing,exception,missing_settlement
