order_id,customer_id,amount,currency,order_date,description
ORD-0001,CUST-8961,841.70,INR,2026-06-01,Mobile wallet top-up
ORD-0002,CUST-7246,4425.27,EUR,2026-06-20,Hotel pre-authorization capture
ORD-0003,CUST-1916,3152.69,GBP,2026-08-02,Card checkout — online store
ORD-0004,CUST-1701,316.19,EUR,2026-08-12,Monthly SaaS subscription
ORD-0005,CUST-3171,685.64,INR,2026-08-10,Invoice payment
ORD-0006,CUST-6502,4882.68,EUR,2026-07-10,Utility bill payment
ORD-0007,CUST-1524,2379.58,USD,2026-07-02,Marketplace payout capture
ORD-0008,CUST-6798,3097.62,EUR,2026-06-01,Monthly SaaS subscription
ORD-0009,CUST-3281,4519.46,GBP,2026-06-10,Marketplace payout capture
ORD-0010,CUST-7615,3804.95,INR,2026-07-02,Insurance premium debit
ORD-0011,CUST-6516,2233.27,INR,2026-07-30,Card checkout — online store
ORD-0012,CUST-2569,3830.43,GBP,2026-06-14,Marketplace payout capture
ORD-0013,CUST-8163,974.50,ZZZ,2026-07-30,Marketplace payout capture
ORD-0014,CUST-8938,525.82,USD,2026-08-09,Card checkout — online store
ORD-0015,CUST-8083,2143.28,INR,2026-08-01,Marketplace payout capture
ORD-0016,CUST-3336,23.80,INR,2026-07-04,Insurance premium debit
ORD-0017,CUST-8935,824.08,EUR,2026-07-08,Marketplace payout capture
ORD-0018,CUST-1465,275.39,INR,2026-08-04,Invoice payment
ORD-0019,CUST-1982,3132.19,USD,2026-07-01,Utility bill payment
ORD-0020,CUST-6486,2210.44,GBP,2026-07-04,Marketplace payout capture
ORD-0021,CUST-8610,698.67,GBP,2026-07-29,Hotel pre-authorization capture
ORD-0022,CUST-5144,0.00,USD,2026-06-10,Marketplace payout capture
ORD-0023,CUST-3334,4630.76,USD,2026-07-02,Hotel pre-authorization capture
ORD-0024,CUST-8632,3219.45,USD,2026-08-10,Mobile wallet top-up
ORD-0025,CUST-3231,617.67,USD,2026-08-10,Invoice payment
ORD-0026,CUST-3057,3616.96,GBP,2026-08-04,Insurance premium debit
ORD-0027,CUST-6219,243.64,USD,2026-07-13,Invoice payment
ORD-0028,CUST-8741,2953.26,USD,2026-06-15,Monthly SaaS subscription
ORD-0029,CUST-7837,4642.52,EUR,2026-08-09,Card checkout — online store
ORD-0030,CUST-8364,680.68,USD,2026-07-10,Hotel pre-authorization capture
ORD-0031,CUST-7390,3588.49,EUR,2026-06-14,Hotel pre-authorization capture
ORD-0032,CUST-8220,4866.16,EUR,2026-06-21,Invoice payment
ORD-0033,CUST-7450,4218.52,EUR,2026-07-05,Invoice payment
ORD-0034,CUST-7689,4514.00,INR,2026-06-29,Marketplace payout capture
ORD-0035,CUST-3282,136.56,EUR,2026-07-22,Hotel pre-authorization capture
ORD-0036,CUST-8184,4435.71,GBP,2026-06-04,Monthly SaaS subscription
