settlement_id,gateway_ref,amount,settlement_date,status,bank_reference
STL-0000001,GW-0000001,841.70,2026-06-05,settled,BANK-ACH-000001
STL-0000002,GW-0000002,4425.27,2026-06-21,settled,BANK-ACH-000002
STL-0000003,GW-0000003,3152.69,2026-08-04,settled,BANK-ACH-000003
STL-0000004,GW-0000004,316.19,2026-08-13,settled,BANK-ACH-000004
STL-0000005,GW-0000005,685.64,2026-08-12,settled,BANK-ACH-000005
STL-0000006,GW-0000007,2379.58,2026-07-17,settled,BANK-ACH-000006
STL-0000007,GW-0000008,3097.62,2026-06-01,settled,BANK-ACH-000007
STL-0000008,GW-0000009,4519.46,2026-06-24,settled,BANK-ACH-000008
STL-0000009,GW-0000010,3804.95,2026-07-05,settled,BANK-ACH-000009
STL-0000010,GW-0000010,3804.95,2026-07-06,settled,BANK-ACH-000010
STL-0000011,GW-0000011,2233.27,2026-08-02,settled,BANK-ACH-000011
STL-0000012,GW-0000012,3830.43,2026-06-17,settled,BANK-ACH-000012
STL-0000013,GW-0000013,974.50,2026-07-31,ERROR,UNAVAILABLE
STL-0000014,GW-0000014,525.82,2026-08-11,settled,BANK-ACH-000014
STL-0000015,GW-0000015,2143.28,2026-08-05,settled,BANK-ACH-000015
STL-0000016,GW-0000016,23.80,2026-07-09,settled,BANK-ACH-000016
STL-0000017,GW-0000017,824.58,2026-07-09,settled,BANK-ACH-000017
STL-0000018,GW-0000018,275.39,2026-08-05,settled,BANK-ACH-000018
STL-0000019,GW-0000019,3132.19,2026-07-01,settled,BANK-ACH-000019
STL-0000020,GW-0000020,2210.44,2026-07-08,settled,BANK-ACH-000020
STL-0000021,GW-0000021,698.67,2026-08-01,settled,BANK-ACH-000021
STL-0000022,GW-0000021,698.67,2026-08-03,settled,BANK-ACH-000022
STL-0000023,GW-0000022,0.00,2026-06-11,ERROR,UNAVAILABLE
STL-0000024,GW-0000023,4630.76,2026-07-05,settled,BANK-ACH-000024
STL-0000025,GW-0000024,3219.45,2026-08-13,settled,BANK-ACH-000025
STL-0000026,GW-0000025,617.67,2026-08-12,settled,BANK-ACH-000026
STL-0000027,GW-0000026,3616.96,2026-08-19,settled,BANK-ACH-000027
STL-0000028,GW-0000027,243.64,2026-07-17,settled,BANK-ACH-000028
STL-0000029,GW-0000028,4642.52,2026-08-12,settled,BANK-ACH-000029
STL-0000030,GW-0000029,680.68,2026-07-24,settled,BANK-ACH-000030
STL-0000031,GW-0000030,3588.49,2026-06-16,settled,BANK-ACH-000031
STL-0000032,GW-0000031,4866.16,2026-06-25,settled,BANK-ACH-000032
STL-0000033,GW-0000033,4514.00,2026-07-01,settled,BANK-ACH-000033
STL-0000034,GW-0000034,136.56,2026-07-26,settled,BANK-ACH-000034
STL-0000035,GW-0000034,136.56,2026-07-28,settled,BANK-ACH-000035
STL-0000036,GW-0000035,4435.71,2026-06-05,settled,BANK-ACH-000036
STL-0000037,GW-0000036,580.84,2026-07-17,settled,BANK-ACH-000037
STL-0000038,GW-0000037,1347.97,2026-07-29,settled,BANK-ACH-000038
STL-0000039,GW-0000038,3279.62,2026-06-20,settled,BANK-ACH-000039
STL-0000040,GW-0000039,3667.88,2026-08-13,settled,BANK-ACH-000040
STL-0000041,GW-0000040,2141.50,2026-07-13,settled,BANK-ACH-000041
STL-0000042,GW-0000041,2328.73,2026-07-01,settled,BANK-ACH-000042
STL-0000043,GW-0000043,785.05,2026-06-23,settled,BANK-ACH-000043
STL-0000044,GW-0000044,2185.36,2026-07-20,settled,BANK-ACH-000044
STL-0000045,GW-0000045,3661.08,2026-06-10,settled,BANK-ACH-000045
STL-0000046,GW-0000046,4993.44,2026-08-08,settled,BANK-ACH-000046
STL-0000047,GW-0000047,2372.16,2026-07-05,settled,BANK-ACH-000047
STL-0000048,GW-0000048,2318.69,2026-07-08,settled,BANK-ACH-000048
STL-0000049,GW-0000048,2318.69,2026-07-08,settled,BANK-ACH-000049
STL-0000050,GW-0000049,803.28,2026-07-23,settled,BANK-ACH-000050
